id,country,city,state,latitude,longitude,label
0,USA,Orange,NJ,33.787794,-117.853112,USA Orange NJ
1,USA,Cincinnati,OH,39.103118,-84.51202,USA Cincinnati OH
2,USA,Newport,KY,39.091449,-84.495776,USA Newport KY
3,USA,Oskaloosa,IA,41.291673,-92.649359,USA Oskaloosa IA
4,USA,Warsaw,IL,40.359211,-91.434598,USA Warsaw IL
5,USA,Koekuk,IA?,40.404473,-91.396397,USA Koekuk IA?
6,USA,Maisfeld,near Oskaloosa,41.291673,-92.649359,USA Maisfeld near Oskaloosa
7,USA,Monroe,MI,41.916434,-83.39771,USA Monroe MI
8,USA,Tonawanda,NY,43.020335,-78.880315,USA Tonawanda NY
9,USA,Oak Grove,WI,43.386106,-88.74566,USA Oak Grove WI
10,USA,Edwardsville,IL,38.811436,-89.953157,USA Edwardsville IL
11,USA,New York,NY,40.712784,-74.005941000000007,USA New York NY
12,USA,Williamsburg,NY,40.708116,-73.95707,USA Williamsburg NY
13,USA,Brooklyn,NY,40.678178,-73.944158,USA Brooklyn NY
14,USA,San Francisco,CA,37.77493,-122.419416,USA San Francisco CA
15,USA,Union Hill,NY,43.222841,-77.371658,USA Union Hill NY
16,USA,Sonoma,CA,38.291859,-122.458036,USA Sonoma CA
17,DEU,OberweiÃŸbach,TH,50.581574,11.142585,DEU OberweiÃŸbach TH
18,USA,Waterloo,WI,43.183884,-88.988442,USA Waterloo WI
19,USA,"Amherst, Portage Co.",WI,44.450808,-89.284836,"USA Amherst, Portage Co. WI"
20,USA,Minneapolis,MN,44.977753,-93.265011,USA Minneapolis MN
21,DEU,GrÃ¤fenthal,TH,50.525772,11.310406,DEU GrÃ¤fenthal TH
22,DEU,Piesau,TH,50.512949,11.21717,DEU Piesau TH
23,USA,Austin,TX,30.267153,-97.743061,USA Austin TX
24,USA,Brenham,TX,30.166883,-96.397744,USA Brenham TX
25,DEU,Leipzig,SA,51.410476,12.754026,DEU Leipzig SA
26,USA,Oliverea,NY,42.065369,-74.460152,USA Oliverea NY
27,USA,Trenton,NJ,40.217053,-74.742938,USA Trenton NJ
28,DEU,Erfurt,TH,50.984768,11.02988,DEU Erfurt TH
29,USA,Perry,OK,36.289486,-97.288098,USA Perry OK
30,USA,Shamrock,OK,35.910069,-96.583905,USA Shamrock OK
31,USA,Midford,OK,36.806973,-97.733664,USA Midford OK
32,USA,Wellington,KS,37.2653,-97.371712,USA Wellington KS
33,USA,Rochester,NY,43.16103,-77.610922,USA Rochester NY
34,USA,Pittsburgh,PN,40.440625,-79.995886,USA Pittsburgh PN
35,USA,Brownfield,TX,33.181204,-102.274349,USA Brownfield TX
36,USA,Plainview,TX,34.184794,-101.706842,USA Plainview TX
37,USA,Lubbock,TX,33.577863,-101.855166,USA Lubbock TX
38,USA,Sweetwater,TX,32.470952,-100.405938,USA Sweetwater TX
39,USA,Spur,TX,33.476477,-100.855686,USA Spur TX
40,USA,Haskell,TX,33.157603,-99.733701,USA Haskell TX
41,USA,Lamesa,TX,32.7376,-101.950992,USA Lamesa TX
42,USA,Big Spring,TX,32.250398,-101.478735,USA Big Spring TX
43,USA,Seymour,TX,33.594261,-99.260353,USA Seymour TX
44,USA,Guanah,TX,34.297855,-99.740372,USA Guanah TX
45,USA,Perryto,TX,36.400031,-100.802651,USA Perryto TX
46,USA,Burlington,CO,39.306108,-102.269356,USA Burlington CO
47,USA,Stratton,CO,39.303328,-102.604645,USA Stratton CO
48,USA,Ozona,TX,30.702225,-101.201382,USA Ozona TX
49,USA,Seminole,TX,32.718993,-102.64491,USA Seminole TX
50,DEU,Jena,TH,50.927054,11.589237,DEU Jena TH
51,USA,Cleveland,OH,41.49932,-81.694361,USA Cleveland OH
52,USA,Covington,KY,39.083671,-84.508554,USA Covington KY
53,USA,Ohio,OH,40.417287,-82.907123,USA Ohio OH
54,USA,O. Folly Island,SC,32.665642,-79.920669,USA O. Folly Island SC
55,USA,Fernandina,FL,30.332184,-81.655651,USA Fernandina FL
56,USA,Jacksonville,FL,30.332184,-81.655651,USA Jacksonville FL
57,USA,St. Augustine,FL,29.901244,-81.312434,USA St. Augustine FL
58,USA,Blue Ridge Summit,PA,39.724262,-77.471378,USA Blue Ridge Summit PA
59,USA,Chicago,IL,41.878114,-87.629798,USA Chicago IL
60,USA,Orange,NJ,40.770619,-74.232648,USA Orange NJ
61,USA,Warrensville,OH,41.326467,-76.945521,USA Warrensville OH
62,USA,Ann Arbor,MI,42.280826,-83.743038,USA Ann Arbor MI
63,USA,Homer,OH,40.252612,-82.518687,USA Homer OH
64,USA,Wilmington,Delaware,39.739072,-75.539788,USA Wilmington Delaware
65,USA,Columbus,OH,39.961176,-82.998794,USA Columbus OH
66,USA,Wood Ridge,NJ,40.845656,-74.087919,USA Wood Ridge NJ
67,USA,Jersey City,NJ,40.728157,-74.077642,USA Jersey City NJ
68,USA,Princeton,NJ,40.357298,-74.667223,USA Princeton NJ
69,USA,New York,NY,40.78306,-73.971249,USA New York NY
70,USA,Port Cester,NY,41.001764,-73.665683,USA Port Cester NY
71,USA,Rutherford,NJ,40.826489,-74.106809,USA Rutherford NJ
72,USA,Carlstadt,NJ,40.840378,-74.090697,USA Carlstadt NJ
73,DEU,Sebnitz,S,50.970912,14.273873,DEU Sebnitz S
74,USA,Lime Ridge,WI,43.467759,-90.154849,USA Lime Ridge WI
75,DEU,Ribnitz,Mecklenburg,54.252211,12.439749,DEU Ribnitz Mecklenburg
76,DEU,Nienhagen,Mecklenburg,54.161424,11.953062,DEU Nienhagen Mecklenburg
77,DEU,Neubrunn,TH,50.49939,10.468045,DEU Neubrunn TH
78,DEU,Limbach,SA,50.584022,12.252519,DEU Limbach SA
79,DEU,Roda,TH,50.93123,11.016121,DEU Roda TH
80,DEU,Apolda,TH,51.02601,11.51555,DEU Apolda TH
81,DEU,Leisnig,SA,51.15772,12.928458,DEU Leisnig SA
82,DEU,MÃ¼hlhausen,TH,51.209865,10.4571,DEU MÃ¼hlhausen TH
83,USA,Texas,various places,33.079122,-96.730983,USA Texas various places
84,DEU,Remptendorf,TH,50.528715,11.659751,DEU Remptendorf TH
